product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,discount
1732771,Nghiệp Tình Yêu,Geshe Michael Roach,199000,129600,100,Others,8,5,598,Nhà Xuất Bản Lao Động,0.35
195885688,Dragon Quest - Dấu Ấn Roto (Dragon Quest Saga Emblem Of Roto) Perfect Edition - Tập 9,Kamui Fujiwara,75000,74100,491,Others,49,5,236,Nhà Xuất Bản Kim Đồng,0.01
129766803,Khác Biệt Hay Là Chết (Tái Bản),Jack Trout,128000,84400,536,Others,81,5,344,Nhà Xuất Bản Tổng hợp TP.HCM,0.34
23609962,Đắc Nhân Tâm - Bìa Mềm (Tái Bản 2019),Dale Carnegie,82000,62000,4155,Others,441,5,352,Unknown,0.24
152743081,Bàn Tay Ánh Sáng,Barbara Ann Brennan,269000,188300,389,Kiến Thức Bách Khoa,50,5,624,Nhà Xuất Bản Thế Giới,0.3
152561885,Combo Người Thông Minh Giải Quyết Vấn Đề Như Thế Nào + Người Giỏi Không Phải Là Người Làm Tất Cả,Unknown,116000,104400,1,Sách kỹ năng làm việc,0,0,330,Nhà Xuất Bản Tổng hợp TP.HCM,0.1
54053150,"Hoảng Loạn, Hỗn Loạn Và Cuồng Loạn - Gần 400 Năm Lịch Sử Các Cuộc Khủng Hoảng Tài Chính",Charles P. Kindleberger,179000,114200,950,Bài học kinh doanh,127,4.6,408,Nhà Xuất Bản Công Thương,0.36
129381092,Tư Duy Lại Lợi Thế Cạnh Tranh - 6 Quy Tắc Mới Cho Thời Đại Số,Ram Charan,110000,89100,171,"Sách quản trị, lãnh đạo",22,5,256,NXB Trẻ,0.19
116406724,Thầy Cô Giáo Hạnh Phúc Sẽ Thay Đổi Thế Giới - Tập 2 - Đi Như Một Dòng Sông (Tái Bản),Thích Nhất Hạnh,99000,69300,283,Others,27,5,212,Nhà Xuất Bản Hà Nội,0.3
58220389,Mô Hình Biểu Đồ - Phương pháp Hiệu quả để Tìm kiếm Lợi nhuận,Unknown,368000,368000,1032,"Sách tài chính, tiền tệ",203,4.8,330,Nhà Xuất Bản Thanh Niên,0
54208928,Trò Chơi Vô Cực - Chiến Lược Dẫn Đầu Trong Thời Đại Khách Hàng Thông Minh,Simon Sinek,158000,104000,706,Sách kỹ năng làm việc,85,4.7,396,Nhà Xuất Bản Công Thương,0.34
197587849,Yuri Espoir (Tập 3),Naoi Mai,79000,63100,413,Others,123,5,192,Nhà Xuất Bản Dân Trí,0.2
92859060,Tam Thể 3 - Tử Thần Sống Mãi,Lưu Từ Hân,290000,159500,865,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,218,4.7,683,Nhà Xuất Bản Hà Nội,0.45
66398387,"Trời Sinh Vụng Về, Hãy Bù Đắp Bằng Sự Kiên Trì",Unknown,129000,83001,7366,Others,1971,4.7,368,Nhà Xuất Bản Phụ Nữ Việt Nam,0.36
